Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,14485.080078,14497.459961,14155.429688,14171.740234,14171.740234,4259890000
2022-02-18,14207.549805,14225.719727,13918.759766,14009.540039,14009.540039,4475010000
2022-02-22,13892.809570,14109.259766,13720.919922,13870.530273,13870.530273,4830920000
2022-02-23,14016.940430,14035.929688,13502.580078,13509.429688,13509.429688,4614090000
2022-02-24,13065.440430,13989.099609,13065.440430,13974.669922,13974.669922,6131410000
2022-02-25,13973.900391,14193.000000,13850.290039,14189.160156,14189.160156,4614110000
2022-02-28,14058.610352,14296.599609,14009.360352,14237.809570,14237.809570,5894130000
2022-03-01,14197.660156,14271.580078,13906.919922,14005.990234,14005.990234,6094490000
2022-03-02,14075.110352,14292.719727,13962.690430,14243.690430,14243.690430,5229480000
2022-03-03,14339.700195,14342.559570,13965.110352,14035.209961,14035.209961,5058590000
2022-03-04,13957.599609,13992.969727,13738.610352,13837.830078,13837.830078,5319630000
2022-03-07,13853.530273,13879.099609,13314.440430,13319.379883,13319.379883,6163580000
2022-03-08,13275.230469,13663.269531,13129.400391,13267.610352,13267.610352,6631820000
2022-03-09,13610.480469,13793.110352,13504.480469,13742.200195,13742.200195,5377120000
2022-03-10,13577.839844,13633.690430,13399.459961,13591.000000,13591.000000,5034030000
2022-03-11,13701.799805,13714.440430,13285.190430,13301.830078,13301.830078,5250230000
2022-03-14,13248.089844,13386.669922,13020.400391,13046.639648,13046.639648,5853360000
2022-03-15,13174.969727,13488.179688,13092.450195,13458.559570,13458.559570,5414590000
2022-03-16,13633.120117,13960.250000,13475.089844,13956.790039,13956.790039,6498110000
2022-03-17,13878.990234,14125.669922,13827.339844,14118.599609,14118.599609,5575030000
2022-03-18,14061.290039,14427.469727,14014.429688,14420.080078,14420.080078,8109950000
2022-03-21,14377.150391,14470.679688,14190.530273,14376.089844,14376.089844,5636000000
2022-03-22,14396.030273,14688.969727,14385.549805,14654.330078,14654.330078,5400360000
2022-03-23,14525.219727,14681.330078,14446.040039,14447.549805,14447.549805,4995470000
2022-03-24,14529.719727,14767.730469,14440.669922,14765.690430,14765.690430,5046250000
2022-03-25,14766.900391,14805.879883,14577.589844,14754.309570,14754.309570,5553860000
2022-03-28,14763.160156,14989.080078,14705.919922,14987.400391,14987.400391,5086120000
2022-03-29,15142.929688,15265.419922,15039.610352,15239.320313,15239.320313,6031870000
2022-03-30,15177.150391,15229.009766,15010.339844,15071.549805,15071.549805,5439980000
2022-03-31,15074.230469,15088.379883,14835.160156,14838.490234,14838.490234,5427030000
2022-04-01,14886.910156,14925.929688,14723.830078,14861.209961,14861.209961,4984050000
2022-04-04,14903.379883,15161.889648,14884.570313,15159.580078,15159.580078,4598480000
2022-04-05,15109.269531,15120.669922,14782.570313,14820.639648,14820.639648,4707090000
2022-04-06,14600.299805,14639.349609,14395.400391,14498.889648,14498.889648,5265740000
2022-04-07,14469.500000,14624.240234,14315.690430,14531.809570,14531.809570,4822420000
2022-04-08,14450.530273,14490.190430,14307.679688,14327.259766,14327.259766,4554890000
2022-04-11,14149.599609,14187.669922,13979.139648,13990.209961,13990.209961,4916860000
2022-04-12,14175.660156,14264.740234,13882.750000,13940.240234,13940.240234,4965220000
2022-04-13,13939.610352,14258.809570,13919.480469,14217.290039,14217.290039,4887660000
2022-04-14,14225.469727,14235.389648,13884.820313,13893.209961,13893.209961,4623410000
2022-04-18,13859.469727,13997.929688,13788.959961,13910.759766,13910.759766,4350150000
2022-04-19,13882.750000,14236.509766,13844.740234,14210.259766,14210.259766,4527480000
2022-04-20,14246.200195,14263.610352,13962.860352,13998.530273,13998.530273,4639440000
2022-04-21,14174.919922,14277.209961,13682.679688,13720.450195,13720.450195,5206320000
2022-04-22,13714.629883,13769.400391,13342.790039,13356.870117,13356.870117,4457380000
2022-04-25,13275.410156,13541.769531,13239.730469,13533.219727,13533.219727,4827790000
2022-04-26,13447.660156,13447.660156,13009.650391,13009.709961,13009.709961,5136770000
2022-04-27,13009.400391,13241.940430,12936.410156,13003.360352,13003.360352,4773290000
2022-04-28,13254.959961,13542.559570,13038.169922,13456.059570,13456.059570,5030570000
2022-04-29,13274.940430,13428.530273,12835.480469,12854.799805,12854.799805,4719290000
2022-05-02,12864.830078,13083.570313,12716.629883,13075.849609,13075.849609,4896740000
2022-05-03,13045.349609,13178.740234,12982.700195,13089.900391,13089.900391,4522940000
2022-05-04,13110.299805,13556.669922,12887.530273,13535.709961,13535.709961,5467750000
2022-05-05,13344.790039,13344.790039,12710.589844,12850.549805,12850.549805,5269260000
2022-05-06,12776.860352,12926.580078,12522.769531,12693.530273,12693.530273,5311020000
2022-05-09,12465.910156,12542.320313,12136.190430,12187.719727,12187.719727,5911380000
2022-05-10,12496.839844,12537.889648,12173.469727,12345.860352,12345.860352,6199090000
2022-05-11,12240.209961,12470.889648,11939.089844,11967.559570,11967.559570,6120860000
2022-05-12,11790.129883,12128.730469,11692.120117,11945.500000,11945.500000,6647400000
2022-05-13,12125.929688,12429.280273,12069.129883,12387.400391,12387.400391,5868610000
2022-05-16,12297.070313,12395.509766,12196.209961,12243.580078,12243.580078,4898850000
2022-05-17,12496.629883,12572.990234,12333.990234,12564.099609,12564.099609,5068930000
2022-05-18,12352.919922,12389.959961,11887.000000,11928.309570,11928.309570,5043020000
2022-05-19,11872.559570,12066.849609,11795.790039,11875.629883,11875.629883,5136920000
2022-05-20,12037.030273,12044.700195,11492.290039,11835.620117,11835.620117,5413140000
2022-05-23,11867.080078,12047.809570,11785.759766,12034.280273,12034.280273,4509640000
2022-05-24,11807.780273,11842.809570,11576.110352,11769.839844,11769.839844,4706300000
2022-05-25,11732.450195,12028.889648,11714.269531,11943.929688,11943.929688,4500920000
2022-05-26,11906.830078,12337.730469,11901.870117,12276.790039,12276.790039,4651470000
2022-05-27,12421.799805,12682.580078,12405.290039,12681.419922,12681.419922,4774530000
2022-05-31,12688.950195,12762.839844,12482.320313,12642.099609,12642.099609,6028940000
2022-06-01,12750.309570,12820.469727,12457.910156,12548.360352,12548.360352,4697810000
2022-06-02,12498.629883,12897.629883,12447.769531,12892.889648,12892.889648,4422830000
2022-06-03,12650.379883,12724.809570,12505.759766,12548.030273,12548.030273,4117290000
2022-06-06,12745.889648,12804.459961,12534.580078,12599.629883,12599.629883,4633950000
2022-06-07,12456.490234,12737.299805,12413.559570,12711.679688,12711.679688,4383960000
2022-06-08,12682.809570,12776.650391,12578.549805,12615.129883,12615.129883,4689310000
2022-06-09,12543.370117,12666.410156,12265.860352,12269.780273,12269.780273,5382110000
2022-06-10,12052.589844,12082.690430,11825.349609,11832.820313,11832.820313,5125980000
2022-06-13,11472.190430,11568.650391,11254.190430,11288.320313,11288.320313,5912360000
2022-06-14,11385.179688,11418.219727,11205.919922,11311.690430,11311.690430,4802090000
2022-06-15,11468.129883,11751.290039,11346.540039,11593.769531,11593.769531,5346110000
2022-06-16,11286.870117,11311.049805,11037.209961,11127.570313,11127.570313,5667810000
2022-06-17,11172.650391,11357.969727,11089.929688,11265.990234,11265.990234,7423600000
2022-06-21,11446.980469,11638.469727,11446.980469,11546.759766,11546.759766,5201450000
2022-06-22,11427.740234,11708.080078,11423.200195,11527.709961,11527.709961,5215100000
2022-06-23,11622.089844,11729.620117,11515.480469,11697.679688,11697.679688,5238210000
2022-06-24,11826.950195,12112.820313,11812.179688,12105.849609,12105.849609,9438810000
2022-06-27,12157.929688,12175.980469,11965.669922,12008.240234,12008.240234,5017930000
2022-06-28,12021.339844,12133.870117,11633.129883,11637.769531,11637.769531,5397910000
2022-06-29,11619.009766,11710.209961,11537.719727,11658.259766,11658.259766,5609230000
2022-06-30,11532.320313,11650.959961,11322.860352,11503.719727,11503.719727,5620800000
2022-07-01,11472.629883,11592.849609,11378.629883,11585.679688,11585.679688,4844560000
2022-07-05,11419.339844,11781.740234,11366.070313,11779.900391,11779.900391,5028520000
2022-07-06,11807.080078,11941.309570,11727.360352,11852.589844,11852.589844,4824620000
2022-07-07,11913.730469,12137.709961,11897.509766,12109.049805,12109.049805,4662320000
2022-07-08,11977.950195,12179.320313,11956.030273,12125.690430,12125.690430,4495900000
2022-07-11,12008.759766,12026.059570,11830.889648,11860.280273,11860.280273,4343130000
2022-07-12,11926.839844,11990.440430,11684.019531,11744.990234,11744.990234,4279920000
2022-07-13,11523.910156,11819.690430,11498.959961,11728.530273,11728.530273,4400730000
2022-07-14,11637.179688,11801.110352,11488.269531,11768.400391,11768.400391,4456350000
2022-07-15,11896.150391,11987.519531,11828.129883,11983.620117,11983.620117,4342760000
2022-07-18,12089.679688,12156.089844,11836.519531,11877.500000,11877.500000,5003870000
2022-07-19,12046.690430,12258.370117,11967.919922,12249.419922,12249.419922,5251410000
2022-07-20,12269.070313,12488.389648,12232.200195,12439.679688,12439.679688,5427450000
2022-07-21,12466.129883,12620.500000,12351.419922,12619.410156,12619.410156,4646260000
2022-07-22,12575.759766,12662.860352,12322.820313,12396.469727,12396.469727,4700220000
2022-07-25,12391.209961,12415.589844,12244.400391,12328.410156,12328.410156,4261620000
2022-07-26,12248.209961,12259.009766,12051.209961,12086.900391,12086.900391,4304110000
2022-07-27,12299.339844,12660.769531,12256.940430,12601.469727,12601.469727,4559800000
2022-07-28,12580.610352,12741.830078,12433.549805,12717.870117,12717.870117,4892770000
2022-07-29,12784.200195,12986.639648,12726.250000,12947.969727,12947.969727,4893090000
2022-08-01,12877.040039,13084.610352,12833.160156,12940.780273,12940.780273,4373610000
2022-08-02,12853.040039,13073.269531,12809.009766,12901.599609,12901.599609,4742630000
2022-08-03,12983.580078,13289.190430,12974.849609,13253.259766,13253.259766,5628590000
2022-08-04,13253.769531,13326.719727,13170.440430,13311.040039,13311.040039,5408540000
2022-08-05,13107.450195,13286.019531,13070.360352,13207.690430,13207.690430,4888110000
2022-08-08,13227.089844,13394.540039,13103.799805,13159.160156,13159.160156,5190590000
2022-08-09,13064.240234,13095.700195,12945.599609,13008.169922,13008.169922,5271940000
2022-08-10,13330.660156,13386.849609,13220.049805,13378.320313,13378.320313,5135480000
2022-08-11,13471.030273,13555.379883,13271.349609,13291.990234,13291.990234,5785100000
